,Date,User,IsVerified,Tweet
219,2022-03-04 03:47:29+00:00,mikankudamono,False,"RT @POTUS: I met with my fellow Quad leaders Prime Minister Scott Morrison, Prime Minister Narendra Modi, and Prime Minister Kishida Fumio…"
220,2022-03-04 03:47:21+00:00,naijonam,False,"RT @AishwaryVerma9: Bharat Mata ki Jai hai aur shan se bolenge lekin jabardasti
Narendra Modi zindabad nahi bolenge...
https://t.co/FdPaJwf…"
221,2022-03-04 03:47:18+00:00,harikantkumarr,False,"RT @AishwaryVerma9: Bharat Mata ki Jai hai aur shan se bolenge lekin jabardasti
Narendra Modi zindabad nahi bolenge...
https://t.co/FdPaJwf…"
222,2022-03-04 03:47:18+00:00,m69763950,False,"RT @PAPA__Tweets: In the name of High LEVEL Meeting, Narendra Modi is Busy in Photoshoot and Fooling the NATION.

https://t.co/lzwOFKpjhL h…"
223,2022-03-04 03:47:08+00:00,BiplabR56933456,False,"RT @ANI: Prime Minister Narendra Modi participated today at a virtual summit of Quad leaders, along with US President Joe Biden, Australian…"
224,2022-03-04 03:47:00+00:00,ImWaseemHaider,False,"RT @PAPA__Tweets: In the name of High LEVEL Meeting, Narendra Modi is Busy in Photoshoot and Fooling the NATION.

https://t.co/lzwOFKpjhL h…"
225,2022-03-04 03:46:59+00:00,angelus_0923,False,"RT @POTUS: I met with my fellow Quad leaders Prime Minister Scott Morrison, Prime Minister Narendra Modi, and Prime Minister Kishida Fumio…"
226,2022-03-04 03:46:57+00:00,Reply_Now_Pls,False,@POTUS Narendra Modi and Imran Khan are not to be trusted
227,2022-03-04 03:46:52+00:00,mr_poha,False,"RT @kmshambhu: Prime Minister Hon'ble Shri Narendra Modi Ji addressing public meeting in Jaunpur, Uttar Pradesh."
228,2022-03-04 03:46:42+00:00,VishnuKumarKus5,False,@PMOIndia india prime minister SR Narendra Modi good help of Indian🇮🇳 students in yukain Russia 🇷🇺 war mission operation Ganga
